src_ip,dst_ip,ran_ngap_ue_id,label,timestamp_seq,direc_seq,procedurecode_seq,ngap_type_seq,nas_sec_seq,nas_type_seq,cell_id_seq,tac_seq,time_seq,seq_no,ue_status,establish_cause,nRencryption,nRintegrityProtection,eUTRAencryption,eUTRAintegrityProtection,mmfor,reg_type,tsc,nas_key_set_id,mcc,mnc,supi_fmt,type_id,nssaa_perf,sms_all,reg_result,mpsi,iwk_n26,emf,emc,vops_n3gpp,vops_3gpp,up_ciot,iphc_cp_ciot,n3_data,cp_ciot,restrictec,mcsi,emcn3,mm_cause,switch_off,re_reg_req,acc_type,serv_type,abba,cipher_alg,integrity_alg,max_data_rate_ul,max_data_rate_dl,sel_sc_mode,pdu_session_type,sm_cause,cause_nas,timezone
172.30.209.210,192.168.71.132,0,1,"[0.0, 0.006327390670776367, 0.03465676307678223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[15, 4, 46, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[15, 4, 46, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 21, 27, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[917504, 917504, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,3,-1,-1,-1,-1,1,1,0,1,208,99,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015508890151977539, 0.017239093780517578, 0.028955936431884766, 0.03217911720275879, 0.0403139591217041, 0.04128599166870117, 0.04140806198120117, 0.04298806190490723, 3.037977933883667, 3.0529329776763916, 3.0579030513763428, 6.06281590461731, 6.077368974685669, 6.079531908035278, 9.08159589767456, 9.096585988998413]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[15, 4, 46, 4, 46, 14, 14, 44, 46, 46, 29, 29, 46, 29, 29, 46, 29]","[15, 4, 46, 4, 46, 82, 83, 44, 46, 46, 84, 85, 46, 84, 85, 46, 84]","[0, 0, 0, 3, 0, 4, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[0, 21, 22, 28, 29, 0, 1, 2, 38, 128, 39, 129, 38, 128, 39, 129, 38]","[3, 3, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, -1, -1, -1, -1, -1, -1, -1]",1,3,57344,57344,57344,57344,1,0,0,3,208,95,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,2,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 3.0042951107025146, 3.019695997238159, 3.021613121032715, 6.025041103363037, 6.05423903465271, 6.055828094482422, 9.051783084869385, 9.070086002349854, 9.074158906936646, 12.07103705406189, 12.087661027908325, 12.092020988464355, 15.097376108169556, 15.111063957214355, 15.11530613899231, 18.109195947647095]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46]","[85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38]","[3, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.002399921417236328, 2.9952800273895264, 3.0076088905334473, 3.0092458724975586, 6.01242995262146, 6.024767875671387, 6.026733875274658, 9.030649900436401, 9.043690919876099, 9.045225858688354, 12.047842025756836, 12.060086011886597, 12.061609983444214, 15.056870937347412, 15.06854796409607, 15.070231914520264]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.016009807586669922, 0.020144939422607422, 3.0239768028259277, 3.0364108085632324, 3.0379209518432617, 6.0311439037323, 6.044187784194946, 6.046281814575195, 9.049734830856323, 9.062639951705933, 9.064393997192383, 12.066679954528809, 12.07943081855774, 12.081215858459473, 15.085426807403564, 15.0985689163208]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38]","[3, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 16, 17, 17, 18, 18, 19, 19, 20, 20, 21, 21, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 3.002908945083618, 3.016770124435425, 3.018651008605957, 6.019969940185547, 6.032546043395996, 6.034294128417969, 9.03740406036377, 9.054136991500854, 9.055822134017944, 12.048777103424072, 12.063753128051758, 12.065310955047607, 15.059165000915527, 15.075644969940186, 15.078001976013184, 18.08153796195984]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46]","[85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38]","[3, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 22, 23, 23, 24, 24, 25, 25, 26, 26, 27, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.0016980171203613281, 2.994805097579956, 3.008509874343872, 3.01019287109375, 6.0131800174713135, 6.025956869125366, 6.027738094329834, 9.032572031021118, 9.046483993530273, 9.048122882843018, 12.052700996398926, 12.068479061126709, 12.070152997970581, 15.07426404953003, 15.088078022003174, 15.09204387664795]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 28, 28, 29, 29, 30, 30, 31, 31, 32, 32, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.013529777526855469, 0.01786494255065918, 3.0223028659820557, 3.035494804382324, 3.0374579429626465, 6.04187798500061, 6.065682888031006, 6.06745982170105, 9.072134971618652, 9.087358951568604, 9.09215784072876, 12.085415840148926, 12.099449872970581, 12.100997924804688, 15.09537386894226, 15.109646797180176]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129, 38]","[3, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 2.9936840534210205, 3.008047103881836, 3.009598970413208, 6.004431962966919, 6.030301094055176, 6.034271001815796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[29, 46, 29, 29, 46, 29, 29, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[85, 46, 84, 85, 46, 84, 85, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[2, 0, 2, 0, 2, 0, 2, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[38, 128, 39, 129, 38, 128, 39, 129, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39, 39, 40, 40, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015508890151977539, 0.017239093780517578, 0.028955936431884766, 0.03217911720275879, 0.0403139591217041, 0.04128599166870117, 0.04140806198120117, 0.04298806190490723, 3.037977933883667, 3.0529329776763916, 3.0579030513763428, 6.06281590461731, 6.077368974685669, 6.079531908035278, 9.08159589767456, 9.096585988998413]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[15, 4, 46, 4, 46, 14, 14, 44, 46, 46, 29, 29, 46, 29, 29, 46, 29]","[15, 4, 46, 4, 46, 82, 83, 44, 46, 46, 84, 85, 46, 84, 85, 46, 84]","[0, 0, 0, 3, 0, 4, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[0, 21, 22, 28, 29, 0, 1, 2, 38, 128, 39, 129, 38, 128, 39, 129, 38]","[3, 3, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, -1, -1, -1, -1, -1, -1, -1]",1,3,57344,57344,57344,57344,1,0,0,3,208,95,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,2,0,0,1,1,-1,-1,-1
